id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
2054,11668,5512,1,2023-09-28 08:38:20 UTC,2023-09-28 08:38:20 UTC,,
2064,11717,5538,1,2023-09-29 04:46:54 UTC,2023-09-29 04:46:54 UTC,,
2069,11720,5539,1,2023-09-29 08:28:35 UTC,2023-09-29 08:28:35 UTC,,
2076,11726,5545,1,2023-09-29 17:25:23 UTC,2023-09-29 17:25:23 UTC,,
2087,11747,5556,1,2023-09-30 11:10:04 UTC,2023-09-30 11:10:04 UTC,,
2088,11746,5555,1,2023-09-30 11:12:37 UTC,2023-09-30 11:12:37 UTC,,
2089,11731,5547,1,2023-09-30 11:12:57 UTC,2023-09-30 11:12:57 UTC,,
2090,11737,5547,2,2023-09-30 11:13:31 UTC,2023-09-30 11:13:31 UTC,,
2091,11733,5549,1,2023-09-30 11:14:53 UTC,2023-09-30 11:14:53 UTC,,
2092,11736,5549,2,2023-09-30 11:14:58 UTC,2023-09-30 11:14:58 UTC,,
2101,11764,5570,1,2023-10-01 10:33:53 UTC,2023-10-01 10:33:53 UTC,,
2103,11468,5407,1,2023-10-01 14:40:32 UTC,2023-10-01 14:40:32 UTC,,
2104,11549,5449,1,2023-10-01 14:41:15 UTC,2023-10-01 14:41:15 UTC,,
2119,11808,5610,1,2023-10-02 13:38:41 UTC,2023-10-02 13:38:41 UTC,,
2146,11836,5636,1,2023-10-02 19:24:11 UTC,2023-10-02 19:24:11 UTC,,
2169,11887,5674,1,2023-10-04 05:32:34 UTC,2023-10-04 05:32:34 UTC,,
2175,11901,5674,4,2023-10-04 08:41:30 UTC,2023-10-04 08:41:30 UTC,,
2176,11865,5660,1,2023-10-04 08:51:07 UTC,2023-10-04 08:51:07 UTC,,
2186,11907,5686,1,2023-10-04 10:59:17 UTC,2023-10-04 10:59:17 UTC,,
2202,11944,5707,1,2023-10-05 18:39:55 UTC,2023-10-05 18:39:55 UTC,,
2211,11962,5721,1,2023-10-06 07:21:25 UTC,2023-10-06 07:21:25 UTC,,
2212,11957,5707,3,2023-10-06 07:26:27 UTC,2023-10-06 07:26:27 UTC,,
2224,11955,5716,1,2023-10-06 10:14:48 UTC,2023-10-06 10:14:48 UTC,,
2240,11997,5707,7,2023-10-07 08:27:36 UTC,2023-10-07 08:27:36 UTC,,
2299,12136,5823,1,2023-10-10 09:13:50 UTC,2023-10-10 09:13:50 UTC,,
2330,12160,5836,1,2023-10-11 08:28:21 UTC,2023-10-11 08:28:21 UTC,,
2381,12310,5953,1,2023-10-14 09:44:00 UTC,2023-10-14 09:44:00 UTC,,
2396,12337,5907,2,2023-10-15 07:38:54 UTC,2023-10-15 07:38:54 UTC,,
2397,12327,5823,6,2023-10-15 07:39:17 UTC,2023-10-15 07:39:17 UTC,,
2406,12350,5907,3,2023-10-15 14:26:34 UTC,2023-10-15 14:26:34 UTC,,
2433,12398,6001,1,2023-10-16 18:48:22 UTC,2023-10-16 18:48:22 UTC,,
2435,12397,6000,1,2023-10-16 19:17:12 UTC,2023-10-16 19:17:12 UTC,,
2436,12220,5882,1,2023-10-16 19:52:59 UTC,2023-10-16 19:52:59 UTC,,
