visited_at,posts_read,mobile,time_read
2025-01-20,9,true,816
2025-01-21,8,true,1645
2025-01-22,2,true,205
2025-01-23,7,true,967
2025-01-24,6,true,1177
2025-01-25,4,false,1263
2025-01-26,6,false,765
2025-01-27,12,true,1557
2025-01-28,12,true,750
2025-01-29,5,true,770
2025-01-30,1,true,243
2025-01-31,9,true,3450
2025-02-01,8,true,1730
2025-02-02,3,true,198
2025-02-03,8,true,1188
2025-02-04,7,true,1675
2025-02-05,2,true,1958
2025-02-06,5,true,2364
2025-02-07,7,true,708
2025-02-08,12,true,1016
2025-02-09,12,true,1824
2025-02-10,3,true,801
2025-02-11,15,true,772
2025-02-12,9,true,635
2025-02-13,4,true,884
2025-02-14,5,true,521
2025-02-15,4,true,1869
2025-02-16,13,true,2656
2025-02-17,11,true,3008
2025-02-18,1,true,2095
2025-02-19,5,true,1041
2025-02-20,8,false,1870
2025-02-21,6,true,2706
2025-02-22,6,true,1659
2025-02-23,6,true,1201
2025-02-24,12,true,3053
2025-02-25,17,true,2362
2025-02-26,6,true,2576
2025-02-27,6,true,1460
2025-02-28,8,true,1163
2025-03-01,10,true,2281
2025-03-02,12,true,2650
2025-03-03,10,true,3647
2025-03-04,13,true,3160
2025-03-05,8,true,2617
2025-03-06,21,true,4870
2025-03-07,11,true,1634
2025-03-08,8,true,1481
2025-03-09,8,true,1353
2025-03-10,9,true,1343
2025-03-11,4,true,3691
2025-03-12,9,true,1919
2025-03-13,6,true,359
2025-03-14,9,true,2531
2025-03-15,4,true,1627
2025-03-16,9,true,905
2025-03-17,11,true,1328
2025-03-18,7,true,1061
2025-03-19,8,true,1309
2025-03-20,6,true,59
2025-03-21,12,true,1257
2025-03-22,2,true,387
2025-03-23,11,true,985
2025-03-24,10,true,840
2025-03-25,2,true,258
2025-03-26,15,true,2410
2025-03-27,6,true,830
2025-03-28,2,true,452
2025-03-29,4,true,360
2025-03-30,4,true,152
2025-03-31,3,true,398
2025-04-01,14,true,1671
2025-04-02,4,true,88
2025-04-03,2,true,614
2025-04-04,3,true,687
2025-04-05,2,true,45
2025-04-06,2,true,5998
2025-04-07,4,true,1129
2025-04-08,6,true,2336
2025-04-09,4,true,888
2025-04-10,2,true,670
2025-04-11,6,true,4047
2025-04-12,9,true,3267
2025-04-13,7,true,1563
2025-04-14,17,true,3618
2025-04-15,18,true,4131
2025-04-16,20,true,1256
2025-04-17,7,true,1619
2025-04-18,10,true,2596
2025-04-19,6,true,1136
2025-04-20,10,true,1839
2025-04-21,2,true,2406
2025-04-22,5,true,1499
2025-04-23,11,true,2575
2025-04-24,9,true,3122
2025-04-25,3,true,845
2025-04-26,10,true,2404
2025-04-27,4,true,2521
2025-04-28,2,true,1264
2025-04-29,6,true,1981
2025-04-30,10,true,5022
2025-05-01,4,true,1501
2025-05-02,3,true,1937
2025-05-03,6,true,1647
2025-05-04,7,true,4184
2025-05-05,8,true,2221
2025-05-06,9,true,1159
2025-05-07,3,true,356
2025-05-08,2,false,2403
2025-05-09,6,true,1050
2025-05-10,2,true,706
2025-05-11,6,true,893
2025-05-12,5,true,2587
2025-05-13,6,true,2038
2025-05-14,5,true,2578
2025-05-15,1,false,1313
2025-05-16,10,true,3274
2025-05-17,4,true,986
2025-05-18,9,true,1227
2025-05-19,7,true,1039
2025-05-20,14,true,2434
2025-05-21,12,true,1192
2025-05-22,21,true,1090
2025-05-23,7,true,1654
2025-05-24,8,true,2966
2025-05-25,17,true,4839
2025-05-26,27,true,2188
2025-05-27,14,true,6014
2025-05-28,22,true,3559
2025-05-29,4,true,4324
2025-05-30,2,true,1864
2025-05-31,2,true,2274
2025-06-01,8,true,1660
2025-06-02,8,true,2620
2025-06-03,6,true,4051
2025-06-04,13,true,5136
2025-06-05,6,true,5126
2025-06-06,2,true,3310
2025-06-07,6,true,5319
2025-06-08,20,true,2030
2025-06-09,6,true,2997
2025-06-10,14,true,6074
2025-06-11,10,true,3183
2025-06-12,9,true,7809
2025-06-13,32,true,5466
2025-06-14,1,true,2082
2025-06-15,9,true,3880
2025-06-16,7,true,3084
2025-06-17,6,true,860
2025-06-18,4,true,757
2025-06-19,15,true,1018
2025-06-20,9,true,402
2025-06-21,2,true,7
2025-06-22,8,true,816
2025-06-23,14,true,2033
2025-06-24,13,true,1868
2025-06-25,17,true,5345
2025-06-26,6,true,464
2025-06-27,7,true,454
2025-06-28,12,true,3597
2025-06-29,9,true,1611
2025-06-30,12,true,1664
2025-07-01,12,true,1528
2025-07-02,9,true,3385
2025-07-03,8,true,6378
2025-07-04,5,true,520
2025-07-05,12,true,1374
2025-07-06,3,true,2284
2025-07-07,13,true,4018
2025-07-08,17,true,4679
2025-07-09,3,true,3731
2025-07-10,27,true,3031
2025-07-11,15,true,2339
2025-07-12,10,true,3029
2025-07-13,4,true,2805
2025-07-14,13,true,7054
2025-07-15,18,true,2490
2025-07-16,15,true,2686
2025-07-17,7,true,1434
2025-07-18,13,true,528
2025-07-19,1,true,836
2025-07-20,7,true,787
2025-07-21,13,true,1584
2025-07-22,2,true,170
2025-07-23,1,true,57
2025-07-24,11,true,1619
2025-07-25,15,true,2045
2025-07-26,7,true,1659
2025-07-27,9,true,2266
2025-07-28,5,true,990
2025-07-29,13,true,1982
2025-07-30,17,true,2366
2025-07-31,3,true,5458
2025-08-01,29,true,2750
2025-08-02,14,true,2608
2025-08-03,19,true,2889
2025-08-04,11,true,3211
2025-08-05,8,true,768
2025-08-06,8,true,2648
2025-08-07,8,true,1486
2025-08-08,22,true,3282
2025-08-09,4,true,508
2025-08-10,8,true,2485
2025-08-11,27,true,1978
2025-08-12,3,true,492
2025-08-13,6,true,3166
2025-08-14,11,true,2455
2025-08-15,17,true,1610
2025-08-16,16,true,1065
2025-08-17,16,true,1963
2025-08-18,8,true,1157
2025-08-19,17,true,1297
2025-08-20,15,true,2708
2025-08-21,35,true,4365
2025-08-22,13,true,1510
2025-08-23,15,true,1299
2025-08-24,20,true,2253
2025-08-25,16,true,5849
2025-08-26,15,true,1067
2025-08-27,13,true,2231
2025-08-28,9,true,1170
2025-08-29,8,true,530
2025-08-30,13,true,824
